X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,FACIL_NAME,FACILNAME_LABEL,FACIL_ADDRESS,ZIPCODE,FACIL_TELEPHONE,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.254282638028457,39.970352531854537,198,126510006,7722,3357,West Philadelphia Achievement Charter Elememtary School,West Phila Achievement CS,6701 Callowhill Street,19151,215-476-6471,Open,Elementary School,K-5,664,Charter,Charter
-75.204955612276763,39.966867115966721,199,126510010,7750,3368,Belmont Charter School,Belmont CS,4030-60 Brown St,19104 - 4844,215-823-8208,Open,Elem/Middle,K-8,533,Charter,Charter
-75.160692535076791,39.968081248296492,200,126510004,7685,3335,People for People Charter School ,People for People CS,800 N Broad Street,19130,215-763-7060,Open,Elem/Middle,K-8,527,Charter,Charter
-75.067238523758022,40.007423827348127,201,126513450,7666,3331,Franklin Towne Charter High School,Franklin Towne CHS,5301 Tacony Street,19137,215-289-5000,Open,High School,9-12,1190,Charter,Charter
-75.024231489415669,40.034632357539792,202,126513420,7649,3334,New Foundations Charter School ,New Foundations CS,8001 Torresdale Avenue,19136,215-624-8100,Open,Elem/Middle/High,K-12,1247,Charter,Charter
-75.152136100370214,39.948829060976067,203,126513190,7578,3317,"Charter High School for Architecture and Design
",Architecture & Design CS,105 S 7th Street,19106,215-351-2900,Open,High School,9-12,596,Charter,Charter
-75.171610774362648,40.072684940869991,204,126510018,7829,3380,New Media Technology Charter School,New Media Tech CS,8034    THOURON         ST,19150,267-286-6900,Open,Middle/High School,5-12,455,Charter,Charter
-75.156222670424967,39.959096953069739,205,126510021,7857,3384,Folk Arts-Cultural Treasures Charter School,Folk Arts Treasures CS,1025 Callowhill St,19123,215-569-2600,Open,Elem/Middle,K-8,481,Charter,Charter
-75.136073888273316,39.994454473725256,206,173515368,7985,3394,Pan American Academy,Pan American Academy,2830 North American Street,19133 - 3705,215-425-1212,Open,Elem/Middle,K-8,736,Charter,Charter
-75.16772433641043,39.940843590219366,207,126513210,7580,3326,Universal Institute Charter School ,Universal Institute CS,801 S 15th Street,19146,215-732-2876,Open,Elem/Middle,K-8,644,Charter,Charter
-75.171304867325716,40.016048139312623,208,126510007,7724,3362,Wissahickon Charter School,Wissahickon CS,4700 Wissahickon Avenue,19144,267-338-1020,Open,Elem/Middle,K-8,426,Charter,Charter
